OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
26184,2022140,1,2,
26185,2022142,1,1,
26186,2022146,1,1,
26187,2022147,1,2,
26188,2022153,1,1,
26189,2022149,1,1,
26190,2022151,1,1,
26191,2022155,1,1,
26192,2022156,2,1,
26193,2022164,1,2,
26194,2022163,1,1,
26195,2022161,1,1,
26196,2022157,1,1,
26197,2022165,1,2,
26198,2022160,1,1,
26199,2022159,1,1,
26200,2022158,1,1,
26201,2022167,1,1,
26202,2022168,1,1,
26203,2022169,1,1,
26204,2022170,1,1,
26205,2022171,1,1,
26206,2022172,1,1,
26207,2022177,1,1,
26208,2022174,1,1,
26209,2022175,1,1,
26210,2022185,1,1,
26211,2022184,2,1,
26212,2022183,1,1,
26213,2022182,1,1,
26214,2022180,2,1,
26215,2022179,1,1,
26216,2022178,1,1,
26217,2022187,1,1,
26218,2022188,1,1,
26219,2022189,1,2,
26220,2022194,1,1,
26221,2022195,1,1,
26222,2022195,2,1,
26223,2022196,1,1,
26224,2022192,1,1,
26225,2022197,1,1,
26226,2022198,1,1,
26227,2022199,1,3,
26228,2022200,1,1,
26229,2022201,1,2,
26230,2022202,1,1,
26231,2022208,1,1,
26232,2022203,1,1,
26233,2022205,1,1,
26234,2022212,1,2,
26235,2022213,1,1,
26236,2022214,1,1,
26237,2022209,1,2,
26238,2022210,2,1,
26239,2022215,1,1,
26240,2022217,1,1,
26241,2022224,1,1,
26242,2022225,1,1,
26243,2022221,1,1,
26244,2022222,1,1,
26245,2022227,1,1,
26246,2022229,1,1,
26247,2022233,1,1,
26248,2022237,1,1,
26249,2022241,1,1,
26250,2022243,1,1,
26251,2022249,1,3,
26252,2022252,1,1,
26253,2022253,1,1,
26254,2022255,1,1,
26255,2022257,1,1,
26256,2022258,1,2,
26257,2022263,1,1,
26258,2022259,1,1,
26259,2022260,1,1,
26260,2022269,1,2,
26261,2022270,1,1,
26262,2022267,2,1,
26263,2022271,1,1,
26264,2022272,1,2,
26265,2022273,1,2,
26266,2022275,1,1,
26267,2022277,1,1,
26268,2022278,1,1,
26269,2022279,1,1,
26270,2022280,1,1,
26271,2022281,1,3,
26272,2022282,1,1,
26273,2022283,1,1,
26274,2022284,1,1,
26275,2022285,1,1,
26276,2021452,1,1,
26277,2021453,1,4,
26278,2021454,1,2,
26279,2021457,1,1,
26280,2021458,1,1,
26281,2021459,1,1,
26282,2021461,1,1,
26283,2021464,1,1,
26284,2021465,1,1,
26285,2021468,1,1,
26286,2021469,1,1,
26287,2021470,1,1,
26288,2021471,1,1,
26289,2021472,1,1,
26290,2021473,1,1,
26291,2021474,1,1,
26292,2021475,1,1,
26293,2021479,1,1,
26294,2021481,1,1,
26295,2021485,1,1,
26296,2021486,1,1,
26297,2021482,1,1,
26298,2021489,1,1,
26299,2021496,1,2,
26300,2021497,1,1,
26301,2021504,1,1,
26302,2021505,1,1,
26303,2021500,1,1,
26304,2021501,1,2,
26305,2021509,1,1,
26306,2021511,1,1,
26307,2021506,1,1,
26308,2021507,1,1,
26309,2021513,1,1,
26310,2021516,1,1,
26311,2021521,1,1,
26312,2021523,1,1,
26313,2021524,1,1,
26314,2021531,1,2,
26315,2021532,1,1,
26316,2021533,1,1,
26317,2021534,1,1,
26318,2021540,1,1,
26319,2021550,1,1,
26320,2021555,1,2,
26321,2021551,1,1,
26322,2021558,1,1,
26323,2021559,1,1,
26324,2021560,1,2,
26325,2021562,1,1,
26326,2021563,1,3,
26327,2021564,1,3,
26328,2021565,1,2,
26329,2021567,1,1,
26330,2021574,4,4,
26331,2021578,1,1,
26332,2021580,1,1,
