OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
"37,006","2,034,186",1,7,
"37,007","2,034,181",1,3,
"37,008","2,034,182",1,3,
"37,009","2,034,183",1,7,
"37,010","2,034,190",1,3,
"37,011","2,034,191",1,3,
"37,012","2,034,192",1,4,
"37,013","2,034,187",1,4,
"37,014","2,034,188",1,3,
"37,015","2,034,189",1,2,
"37,016","2,034,198",1,5,
"37,017","2,034,200",1,2,
"37,018","2,034,196",1,5,
"37,019","2,034,193",1,9,
"37,020","2,034,194",1,9,
"37,021","2,034,195",1,2,
"37,022","2,034,197",1,7,
"37,023","2,034,199",1,9,
"37,024","2,034,201",1,9,
"37,025","2,034,203",1,4,
"37,026","2,034,204",1,4,
"37,027","2,034,205",1,4,
"37,028","2,034,206",1,4,
"37,029","2,034,207",1,4,
"37,030","2,034,208",1,5,
"37,031","2,034,210",1,3,
"37,032","2,034,209",1,4,
"37,033","2,034,211",1,4,
"37,034","2,034,212",1,4,
"37,035","2,034,213",1,2,
"37,036","2,034,214",1,2,
"37,037","2,034,218",1,4,
"37,038","2,034,219",1,5,
"37,039","2,034,220",1,5,
"37,040","2,034,215",1,4,
"37,041","2,034,216",1,2,
"37,042","2,034,217",1,2,
"37,043","2,034,221",1,5,
"37,044","2,034,222",1,5,
"37,045","2,034,223",1,5,
"37,046","2,034,224",1,5,
"37,047","2,034,225",1,5,
"37,048","2,034,226",1,3,
"37,049","2,034,230",1,3,
"37,050","2,034,231",1,3,
"37,051","2,034,232",1,3,
"37,052","2,034,227",1,5,
"37,053","2,034,228",1,3,
"37,054","2,034,229",1,5,
"37,055","2,034,236",1,5,
"37,056","2,034,237",1,5,
"37,057","2,034,238",1,4,
"37,058","2,034,233",1,5,
"37,059","2,034,234",1,2,
"37,060","2,034,235",1,5,
"37,061","2,034,239",1,5,
"37,062","2,034,240",1,2,
"37,063","2,034,241",1,4,
"37,064","2,034,242",1,2,
"37,065","2,034,243",1,5,
"37,066","2,034,244",1,5,
"37,067","2,034,248",1,5,
"37,068","2,034,249",1,5,
"37,069","2,034,250",1,5,
"37,070","2,034,245",1,5,
"37,071","2,034,247",1,5,
"37,072","2,034,246",1,2,
"37,073","2,034,251",1,5,
"37,074","2,034,252",1,3,
"37,075","2,034,253",1,3,
"37,076","2,034,254",1,6,
"37,077","2,034,255",1,2,
"37,078","2,034,256",1,4,
"37,079","2,034,260",1,5,
"37,080","2,034,261",1,5,
"37,081","2,034,262",1,17,
"37,082","2,034,257",1,5,
"37,083","2,034,258",1,3,
"37,084","2,034,259",1,5,
"37,085","2,034,266",1,4,
"37,086","2,034,267",1,5,
"37,087","2,034,268",1,4,
"37,088","2,034,263",1,8,
"37,089","2,034,264",1,8,
"37,090","2,034,265",1,18,
"37,091","2,033,602",1,7,
"37,092","2,033,603",1,7,
"37,093","2,033,604",1,5,
"37,094","2,033,605",1,5,
"37,095","2,033,606",1,5,
"37,096","2,033,607",1,5,
"37,097","2,033,608",1,5,
"37,098","2,033,609",1,5,
"37,099","2,033,610",1,5,
"37,100","2,033,611",1,5,
"37,101","2,033,612",1,5,
"37,102","2,033,613",1,5,
"37,103","2,033,614",1,5,
"37,104","2,033,615",1,5,
"37,105","2,033,616",1,3,
"37,106","2,033,617",1,5,
"37,107","2,033,618",1,5,
"37,108","2,033,619",1,5,
"37,109","2,033,620",1,4,
"37,110","2,033,621",1,5,
"37,111","2,033,622",1,5,
"37,112","2,033,623",1,1,
"37,113","2,033,624",1,5,
"37,114","2,033,625",1,5,
"37,115","2,033,626",1,5,
"37,116","2,033,627",1,5,
"37,117","2,033,628",1,5,
"37,118","2,033,629",1,5,
"37,119","2,033,630",1,2,
"37,120","2,033,631",1,2,
"37,121","2,033,632",1,2,
"37,122","2,033,633",1,5,
"37,123","2,033,634",1,3,
"37,124","2,033,635",1,5,
"37,125","2,033,636",1,2,
"37,126","2,033,637",1,5,
"37,127","2,033,641",1,4,
"37,128","2,033,642",1,4,
"37,129","2,033,643",1,4,
"37,130","2,033,638",1,5,
"37,131","2,033,639",1,1,
"37,132","2,033,640",1,5,
