OBJECTID,Pole_id,Pole_i_type,Quantity,Note_
37081,2034262,1,17,
37082,2034257,1,5,
37083,2034258,1,3,
37084,2034259,1,5,
37085,2034266,1,4,
37086,2034267,1,5,
37087,2034268,1,4,
37088,2034263,1,8,
37089,2034264,1,8,
37090,2034265,1,18,
37091,2033602,1,7,
37092,2033603,1,7,
37093,2033604,1,5,
37094,2033605,1,5,
37095,2033606,1,5,
37096,2033607,1,5,
37097,2033608,1,5,
37098,2033609,1,5,
37099,2033610,1,5,
37100,2033611,1,5,
37101,2033612,1,5,
37102,2033613,1,5,
37103,2033614,1,5,
37104,2033615,1,5,
37105,2033616,1,3,
37106,2033617,1,5,
37107,2033618,1,5,
37108,2033619,1,5,
37109,2033620,1,4,
37110,2033621,1,5,
37111,2033622,1,5,
37112,2033623,1,1,
37113,2033624,1,5,
37114,2033625,1,5,
37115,2033626,1,5,
37116,2033627,1,5,
37117,2033628,1,5,
37118,2033629,1,5,
37119,2033630,1,2,
37120,2033631,1,2,
37121,2033632,1,2,
37122,2033633,1,5,
37123,2033634,1,3,
37124,2033635,1,5,
37125,2033636,1,2,
37126,2033637,1,5,
37127,2033641,1,4,
37128,2033642,1,4,
37129,2033643,1,4,
37130,2033638,1,5,
37131,2033639,1,1,
37132,2033640,1,5,
37133,2033644,1,8,
37134,2033645,1,4,
37135,2033646,1,4,
37136,2033647,1,4,
37137,2033648,1,4,
37138,2033649,1,3,
37139,2033650,1,2,
37140,2033651,1,2,
37141,2033652,1,3,
37142,2033653,1,3,
37143,2033654,1,3,
37144,2033655,1,3,
37145,2033659,1,3,
37146,2033660,1,3,
37147,2033661,1,4,
37148,2033656,1,2,
37149,2033657,1,2,
37150,2033658,1,8,
37151,2033662,1,2,
37152,2033663,1,2,
37153,2033664,1,2,
37154,2033666,1,4,
37155,2033667,1,4,
37156,2033668,1,4,
37157,2033669,1,11,
37158,2033670,1,4,
37159,2033671,1,5,
37160,2033675,1,5,
37161,2033749,1,3,
37162,2033676,1,4,
37163,2033676,2,1,
37164,2033677,1,5,
37165,2033672,1,4,
37166,2033673,1,6,
37167,2033674,1,11,
37168,2033678,1,5,
