OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"26,025","2,021,998",2,1,
"26,026","2,022,007",1,1,
"26,027","2,022,008",1,1,
"26,028","2,022,009",1,1,
"26,029","2,022,004",1,1,
"26,030","2,022,005",1,1,
"26,031","2,022,006",1,1,
"26,032","2,022,014",1,1,
"26,033","2,022,019",1,1,
"26,034","2,022,020",1,1,
"26,035","2,022,021",1,1,
"26,036","2,022,016",1,1,
"26,037","2,022,025",1,1,
"26,038","2,022,027",1,1,
"26,039","2,022,023",1,1,
"26,040","2,022,024",1,1,
"26,041","2,022,031",1,1,
"26,042","2,022,032",1,1,
"26,043","2,022,030",1,1,
"26,044","2,022,035",1,1,
"26,045","2,022,036",1,1,
"26,046","2,022,037",1,1,
"26,047","2,022,038",1,1,
"26,048","2,022,040",1,1,
"26,049","2,022,041",1,1,
"26,050","2,022,041",2,1,
"26,051","2,022,050",1,1,
"26,052","2,022,049",1,1,
"26,053","2,022,045",2,1,
"26,054","2,022,044",2,1,
"26,055","2,022,043",1,1,
"26,056","2,022,048",1,1,
"26,057","2,022,047",2,1,
"26,058","2,022,046",1,1,
"26,059","2,022,042",1,1,
"26,060","2,021,833",1,1,
"26,061","2,021,842",1,1,
"26,062","2,021,844",1,1,
"26,063","2,021,845",1,1,
"26,064","2,021,846",1,1,
"26,065","2,021,847",1,1,
"26,066","2,021,855",1,1,
"26,067","2,021,851",1,1,
"26,068","2,021,852",1,1,
"26,069","2,021,853",1,1,
"26,070","2,021,856",1,1,
"26,071","2,021,857",1,1,
"26,072","2,021,858",1,2,
"26,073","2,021,859",2,2,
"26,074","2,021,860",1,1,
"26,075","2,021,863",1,2,
"26,076","2,021,866",1,1,
"26,077","2,021,867",1,1,
"26,078","2,021,868",1,1,
"26,079","2,021,870",1,1,
"26,080","2,021,872",1,1,
"26,081","2,021,873",1,2,
"26,082","2,021,874",1,2,
"26,083","2,021,878",1,1,
"26,084","2,021,876",1,1,
"26,085","2,021,885",1,2,
"26,086","2,021,891",1,2,
"26,087","2,021,888",1,1,
