OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
"39,753","2,022,296",2,3,
"39,754","2,022,297",1,4,
"39,755","2,022,298",1,2,
"39,756","2,022,298",2,3,
"39,757","2,022,299",1,6,
"39,758","2,022,300",1,7,
"39,759","2,022,301",1,4,
"39,760","2,022,302",1,9,
"39,761","2,022,303",1,5,
"39,762","2,022,304",1,5,
"39,763","2,022,305",1,12,
"39,764","2,022,306",2,2,
"39,765","2,022,307",1,2,
"39,766","2,022,308",1,3,
"39,767","2,022,309",1,4,
"39,768","2,022,313",2,4,
"39,769","2,022,314",1,4,
"39,770","2,022,315",2,4,
"39,771","2,022,310",1,2,
"39,772","2,022,311",2,5,
"39,773","2,022,312",2,2,
"39,774","2,022,319",2,2,
"39,775","2,022,320",1,2,
"39,776","2,022,321",2,4,
"39,777","2,022,316",1,5,
"39,778","2,022,317",1,1,
"39,779","2,022,317",2,2,
"39,780","2,022,318",2,6,
"39,781","2,022,322",1,12,
"39,782","2,022,323",1,9,
"39,783","2,021,699",1,8,
"39,784","2,021,700",1,6,
"39,785","2,021,701",1,6,
"39,786","2,021,702",1,6,
"39,787","2,021,703",1,2,
"39,788","2,021,704",1,2,
"39,789","2,021,704",2,3,
"39,790","2,021,705",1,2,
"39,791","2,021,705",2,3,
"39,792","2,021,706",1,2,
"39,793","2,021,706",2,1,
"39,794","2,021,707",1,2,
"39,795","2,021,707",2,2,
"39,796","2,021,708",1,2,
"39,797","2,021,708",2,4,
"39,798","2,021,709",1,2,
"39,799","2,021,710",1,2,
"39,800","2,021,711",1,4,
"39,801","2,021,713",3,4,
"39,802","2,021,714",1,4,
"39,803","2,021,715",1,4,
"39,804","2,021,716",1,4,
"39,805","2,021,717",1,4,
"39,806","2,021,718",1,4,
"39,807","2,021,719",1,2,
"39,808","2,021,720",1,4,
"39,809","2,021,721",1,2,
"39,810","2,021,722",1,19,
"39,811","2,021,726",1,2,
"39,812","2,021,727",1,5,
"39,813","2,021,728",1,2,
"39,814","2,021,723",1,10,
"39,815","2,021,724",1,13,
"39,816","2,021,725",1,4,
"39,817","2,021,729",1,10,
"39,818","2,021,730",1,12,
"39,819","2,021,731",1,4,
"39,820","2,021,732",1,5,
"39,821","2,021,733",1,2,
"39,822","2,021,734",1,3,
"39,823","2,021,738",1,4,
"39,824","2,021,739",1,8,
"39,825","2,021,740",1,8,
"39,826","2,021,735",1,3,
"39,827","2,021,736",1,4,
"39,828","2,021,737",1,4,
"39,829","2,021,744",1,20,
"39,830","2,021,745",1,5,
"39,831","2,021,746",1,7,
"39,832","2,021,741",2,4,
"39,833","2,021,742",1,3,
"39,834","2,021,743",1,6,
"39,835","2,021,747",1,4,
"39,836","2,021,748",1,4,
"39,837","2,021,749",2,6,
"39,838","2,021,750",1,6,
"39,839","2,021,751",1,4,
"39,840","2,021,752",1,6,
"39,841","2,021,756",1,5,
"39,842","2,021,757",1,2,
"39,843","2,021,757",2,3,
"39,844","2,021,758",2,3,
"39,845","2,021,753",1,4,
"39,846","2,021,754",1,5,
"39,847","2,021,755",1,3,
"39,848","2,021,755",2,2,
"39,849","2,021,762",2,4,
"39,850","2,021,763",1,14,
"39,851","2,021,764",1,5,
"39,852","2,021,759",1,2,
"39,853","2,021,760",1,2,
"39,854","2,021,761",1,1,
"39,855","2,021,761",2,4,
"39,856","2,021,768",1,3,
"39,857","2,021,769",1,2,
"39,858","2,021,770",1,2,
"39,859","2,021,765",1,4,
"39,860","2,021,767",1,3,
"39,861","2,021,774",1,4,
"39,862","2,021,771",1,9,
"39,863","2,021,772",1,2,
"39,864","2,021,773",2,3,
"39,865","2,021,932",2,5,
"39,866","2,021,933",2,5,
"39,867","2,021,934",2,5,
"39,868","2,021,935",2,5,
"39,869","2,021,936",2,5,
"39,870","2,021,937",2,5,
"39,871","2,021,938",2,8,
"39,872","2,021,939",2,4,
"39,873","2,021,940",2,5,
