OBJECTID,Pole_id,Pole_T_type,Quantity,Note_
39375,2021248,2,4,
39376,2021249,2,5,
39377,2021250,2,5,
39378,2021252,1,5,
39379,2021251,1,5,
39380,2021253,1,8,
39381,2021254,1,10,
39382,2021255,2,5,
39383,2021256,2,5,
39384,2021257,2,3,
39385,2021258,2,2,
39386,2021259,2,2,
39387,2021260,1,5,
39388,2021261,1,5,
39389,2021262,1,10,
39390,2021263,1,9,
39391,2021264,1,9,
39392,2021265,1,5,
39393,2021266,1,14,
39394,2021267,1,5,
39395,2021268,1,5,
39396,2021269,1,7,
39397,2021270,1,5,
39398,2021271,2,4,
39399,2021272,1,5,
39400,2021273,1,5,
39401,2021274,2,4,
39402,2021276,2,3,
39403,2021277,2,3,
39404,2021278,1,9,
39405,2021279,2,3,
39406,2021280,1,12,
39407,2021281,2,4,
39408,2021282,2,4,
39409,2021283,2,4,
39410,2021284,2,5,
39411,2021285,2,4,
39412,2021286,2,4,
39413,2021290,2,4,
39414,2021291,1,4,
39415,2021292,1,5,
39416,2021287,1,9,
39417,2021288,1,5,
39418,2021289,1,6,
39419,2021293,1,5,
39420,2021294,1,9,
39421,2021295,1,5,
39422,2021296,2,3,
39423,2021297,2,3,
39424,2021298,2,3,
39425,2021299,2,2,
39426,2021301,2,4,
39427,2021302,2,3,
39428,2021303,2,3,
39429,2021300,2,3,
39430,2021305,1,7,
39431,2021306,1,5,
39432,2021307,1,5,
39433,2021308,1,5,
39434,2021309,1,5,
39435,2021310,1,5,
39436,2021311,1,5,
39437,2021312,1,5,
39438,2021313,2,4,
39439,2021314,2,3,
39440,2021315,2,2,
39441,2021316,1,5,
39442,2021317,2,3,
39443,2021318,2,3,
39444,2021320,2,5,
39445,2021321,2,5,
39446,2021322,2,2,
39447,2021323,1,2,
39448,2021324,2,2,
39449,2021325,2,4,
39450,2021326,2,3,
39451,2021327,2,5,
39452,2021328,2,5,
39453,2021329,2,4,
39454,2021330,2,4,
39455,2021331,2,4,
39456,2021332,2,3,
39457,2021333,1,4,
39458,2021334,2,4,
39459,2021335,2,4,
39460,2021336,2,2,
39461,2021337,2,5,
39462,2021338,1,5,
39463,2021339,1,5,
39464,2021340,1,5,
39465,2021341,2,4,
39466,2021342,1,7,
39467,2021343,1,5,
39468,2021344,1,5,
39469,2021345,1,5,
39470,2021346,1,5,
39471,2021347,2,2,
39472,2021348,2,4,
39473,2021349,1,8,
39474,2021350,2,3,
39475,2021351,2,2,
39476,2021352,2,4,
39477,2021353,1,4,
39478,2021354,2,3,
39479,2021355,2,5,
39480,2021356,1,5,
39481,2021358,1,6,
39482,2021359,1,2,
39483,2021360,1,2,
39484,2021361,1,9,
39485,2021362,2,2,
39486,2021363,1,6,
39487,2021364,2,3,
39488,2021365,1,5,
39489,2021366,1,8,
39490,2021367,2,5,
39491,2021368,2,3,
39492,2021369,2,4,
39493,2021370,2,4,
39494,2021371,2,4,
39495,2021372,2,4,
39496,2021373,2,4,
39497,2021374,2,5,
39498,2021375,2,4,
39499,2021376,2,5,
39500,2021377,2,4,
39501,2021378,2,4,
39502,2021379,2,3,
39503,2021380,2,5,
39504,2021381,2,5,
39505,2021382,2,2,
39506,2021383,2,3,
39507,2021384,1,5,
39508,2021385,1,5,
39509,2021386,1,1,
39510,2021387,2,4,
39511,2021388,1,5,
39512,2021389,1,4,
39513,2021390,2,4,
39514,2021391,1,4,
39515,2021392,1,5,
39516,2021393,1,9,
39517,2021394,1,7,
39518,2021395,1,5,
39519,2021396,1,8,
39520,2021397,1,5,
39521,2021398,1,5,
39522,2021399,1,5,
39523,2021400,2,3,
39524,2021401,1,5,
39525,2021402,1,4,
39526,2021403,2,3,
39527,2021404,1,5,
39528,2021405,1,6,
39529,2021406,2,66,
39530,2021407,2,4,
39531,2021408,2,3,
39532,2021409,2,2,
39533,2021410,1,5,
39534,2021411,1,5,
39535,2021412,1,4,
39536,2021413,1,5,
39537,2021414,1,5,
39538,2021415,1,5,
39539,2021416,2,3,
39540,2021417,1,3,
39541,2021319,2,3,
39542,2021357,1,5,
39543,2021419,2,3,
39544,2021420,2,4,
39545,2021421,1,5,
39546,2021422,1,7,
39547,2021423,1,5,
39548,2021424,1,5,
39549,2021425,1,7,
39550,2021427,2,5,
39551,2021428,2,4,
39552,2021429,2,4,
39553,2021430,2,4,
39554,2021431,2,5,
39555,2021432,2,4,
39556,2021433,2,5,
39557,2021434,2,4,
39558,2021435,1,8,
39559,2021436,2,4,
39560,2021437,1,9,
39561,2021438,1,4,
39562,2021439,2,3,
39563,2021440,1,3,
39564,2021441,2,3,
39565,2021442,1,6,
39566,2021443,1,5,
39567,2021444,2,4,
39568,2021626,1,9,
39569,2021627,1,4,
39570,2021628,1,4,
39571,2021629,1,4,
39572,2021630,1,5,
39573,2021631,1,9,
39574,2021632,1,4,
39575,2021633,1,5,
39576,2021634,1,5,
39577,2020984,1,5,
39578,2020985,1,5,
39579,2020986,1,5,
39580,2020987,1,5,
39581,2020988,1,5,
39582,2020990,1,5,
39583,2020991,1,5,
39584,2020992,1,2,
39585,2020993,1,8,
39586,2020994,1,5,
39587,2020995,1,5,
39588,2020996,1,5,
39589,2020998,1,2,
39590,2020999,1,5,
39591,2020997,1,5,
39592,2021001,1,5,
39593,2021002,1,5,
39594,2021003,1,3,
39595,2021004,1,5,
39596,2021005,1,2,
39597,2021006,1,9,
39598,2021007,1,9,
39599,2021008,1,5,
39600,2021009,1,5,
39601,2021010,1,7,
39602,2021011,1,9,
39603,2021012,1,5,
39604,2021013,1,5,
39605,2021014,1,5,
39606,2021015,1,5,
39607,2021016,1,5,
39608,2021017,1,9,
39609,2021018,1,5,
39610,2021019,1,2,
39611,2021020,1,2,
39612,2021021,1,2,
39613,2021022,1,4,
39614,2021023,1,2,
39615,2021024,1,2,
39616,2021025,1,2,
39617,2021026,1,8,
39618,2021027,1,8,
39619,2021028,1,5,
39620,2021066,1,4,
39621,2021030,1,5,
39622,2021029,1,4,
39623,2021031,1,9,
39624,2021032,1,5,
39625,2021033,1,5,
39626,2021034,1,5,
39627,2021035,1,5,
39628,2021037,1,3,
39629,2021036,1,5,
39630,2021039,1,5,
39631,2021040,1,10,
39632,2021042,1,10,
39633,2021043,1,5,
39634,2021044,1,7,
39635,2021045,1,6,
39636,2021046,1,3,
39637,2021047,1,13,
39638,2021048,1,2,
39639,2021049,1,3,
39640,2021050,1,5,
39641,2021051,1,5,
39642,2021052,1,5,
39643,2021053,1,5,
39644,2021057,1,6,
39645,2021058,1,6,
39646,2021059,1,7,
39647,2021054,1,7,
39648,2021055,1,8,
39649,2021056,1,8,
39650,2021060,1,7,
39651,2021061,1,9,
39652,2021062,1,4,
39653,2021063,1,2,
39654,2021064,1,6,
39655,2021065,1,8,
39656,2021067,1,6,
39657,2021068,1,9,
39658,2021069,1,9,
39659,2021070,1,9,
39660,2021071,1,9,
39661,2021072,1,9,
39662,2021073,1,4,
39663,2021074,1,6,
39664,2021075,1,8,
39665,2021076,1,9,
39666,2021077,1,10,
39667,2021078,1,2,
39668,2021079,1,9,
39669,2021081,1,9,
39670,2021082,1,5,
39671,2021083,1,5,
39672,2021084,1,5,
39673,2021085,1,5,
39674,2021086,1,3,
39675,2021087,1,9,
39676,2021088,1,7,
39677,2021089,1,5,
39678,2021635,1,5,
39679,2021636,1,3,
39680,2021637,1,2,
39681,2021641,2,3,
39682,2021642,1,4,
39683,2021643,1,1,
39684,2021643,2,3,
39685,2021638,1,5,
39686,2021639,1,7,
39687,2021640,1,6,
39688,2021648,1,6,
39689,2021644,1,5,
39690,2021645,1,5,
39691,2021646,1,4,
39692,2021649,1,6,
39693,2021650,1,7,
39694,2021651,1,4,
39695,2021652,1,5,
39696,2021653,1,5,
39697,2021654,1,2,
39698,2021655,1,8,
39699,2021656,1,2,
39700,2021657,1,4,
39701,2021658,1,7,
39702,2021659,1,5,
39703,2021660,1,5,
39704,2021662,1,2,
39705,2021662,2,3,
39706,2021664,1,5,
39707,2021666,1,4,
39708,2021665,1,3,
39709,2021667,1,5,
39710,2021668,1,6,
39711,2021669,1,8,
39712,2021670,1,7,
39713,2021671,1,3,
39714,2021671,2,3,
39715,2021672,1,8,
39716,2021673,2,4,
39717,2021677,2,4,
39718,2021678,1,8,
39719,2021679,1,5,
39720,2021674,1,2,
39721,2021675,1,9,
39722,2021676,1,6,
39723,2021683,2,3,
39724,2021684,2,2,
39725,2021690,1,10,
39726,2021680,2,3,
39727,2021681,2,2,
39728,2021682,1,3,
39729,2021685,1,3,
39730,2021686,1,2,
39731,2021687,1,2,
39732,2021688,2,2,
39733,2021689,1,4,
39734,2021691,2,8,
39735,2021692,2,2,
39736,2021693,2,3,
39737,2021694,1,4,
39738,2021695,1,2,
39739,2021696,1,6,
39740,2021697,1,3,
39741,2022287,1,3,
39742,2022287,2,4,
39743,2022288,2,2,
39744,2022289,2,4,
39745,2022290,2,4,
39746,2022291,1,4,
39747,2022292,1,7,
39748,2022293,1,5,
39749,2022294,1,5,
39750,2022295,1,7,
39751,2022324,2,4,
39752,2022296,1,1,
39753,2022296,2,3,
39754,2022297,1,4,
39755,2022298,1,2,
39756,2022298,2,3,
39757,2022299,1,6,
39758,2022300,1,7,
39759,2022301,1,4,
39760,2022302,1,9,
39761,2022303,1,5,
39762,2022304,1,5,
39763,2022305,1,12,
39764,2022306,2,2,
39765,2022307,1,2,
39766,2022308,1,3,
39767,2022309,1,4,
39768,2022313,2,4,
39769,2022314,1,4,
39770,2022315,2,4,
39771,2022310,1,2,
39772,2022311,2,5,
39773,2022312,2,2,
39774,2022319,2,2,
39775,2022320,1,2,
39776,2022321,2,4,
39777,2022316,1,5,
39778,2022317,1,1,
39779,2022317,2,2,
39780,2022318,2,6,
39781,2022322,1,12,
39782,2022323,1,9,
39783,2021699,1,8,
39784,2021700,1,6,
39785,2021701,1,6,
39786,2021702,1,6,
39787,2021703,1,2,
39788,2021704,1,2,
39789,2021704,2,3,
39790,2021705,1,2,
39791,2021705,2,3,
39792,2021706,1,2,
39793,2021706,2,1,
39794,2021707,1,2,
39795,2021707,2,2,
39796,2021708,1,2,
39797,2021708,2,4,
39798,2021709,1,2,
39799,2021710,1,2,
39800,2021711,1,4,
39801,2021713,3,4,
39802,2021714,1,4,
39803,2021715,1,4,
39804,2021716,1,4,
39805,2021717,1,4,
39806,2021718,1,4,
39807,2021719,1,2,
39808,2021720,1,4,
39809,2021721,1,2,
39810,2021722,1,19,
39811,2021726,1,2,
39812,2021727,1,5,
39813,2021728,1,2,
39814,2021723,1,10,
39815,2021724,1,13,
39816,2021725,1,4,
39817,2021729,1,10,
39818,2021730,1,12,
39819,2021731,1,4,
39820,2021732,1,5,
39821,2021733,1,2,
39822,2021734,1,3,
39823,2021738,1,4,
39824,2021739,1,8,
39825,2021740,1,8,
39826,2021735,1,3,
39827,2021736,1,4,
39828,2021737,1,4,
39829,2021744,1,20,
39830,2021745,1,5,
39831,2021746,1,7,
39832,2021741,2,4,
39833,2021742,1,3,
39834,2021743,1,6,
39835,2021747,1,4,
39836,2021748,1,4,
39837,2021749,2,6,
39838,2021750,1,6,
39839,2021751,1,4,
39840,2021752,1,6,
39841,2021756,1,5,
39842,2021757,1,2,
39843,2021757,2,3,
39844,2021758,2,3,
39845,2021753,1,4,
39846,2021754,1,5,
39847,2021755,1,3,
39848,2021755,2,2,
39849,2021762,2,4,
39850,2021763,1,14,
39851,2021764,1,5,
39852,2021759,1,2,
39853,2021760,1,2,
39854,2021761,1,1,
39855,2021761,2,4,
39856,2021768,1,3,
39857,2021769,1,2,
39858,2021770,1,2,
39859,2021765,1,4,
39860,2021767,1,3,
39861,2021774,1,4,
39862,2021771,1,9,
39863,2021772,1,2,
39864,2021773,2,3,
39865,2021932,2,5,
39866,2021933,2,5,
39867,2021934,2,5,
39868,2021935,2,5,
39869,2021936,2,5,
39870,2021937,2,5,
39871,2021938,2,8,
39872,2021939,2,4,
39873,2021940,2,5,
39874,2021941,2,3,
39875,2021943,2,3,
39876,2021945,2,3,
39877,2021944,2,5,
39878,2021948,2,4,
39879,2021946,2,5,
39880,2021947,2,3,
39881,2021949,2,3,
39882,2021942,2,5,
39883,2021950,2,4,
39884,2021951,2,3,
39885,2021952,2,2,
39886,2021953,2,2,
39887,2021954,2,2,
39888,2021955,2,2,
39889,2021956,2,5,
40244,2022160,2,2,
40245,2022159,2,2,
40246,2022158,2,3,
40247,2022167,2,5,
40248,2022168,2,9,
40249,2022169,2,8,
40250,2022170,2,4,
40251,2022171,2,5,
40252,2022172,2,4,
40253,2022176,2,4,
40254,2022177,2,4,
40255,2022186,2,4,
40256,2022173,2,4,
40257,2022174,2,4,
40258,2022175,2,4,
40259,2022185,2,4,
40260,2022184,2,4,
40261,2022183,2,4,
40262,2022182,2,4,
40263,2022181,2,4,
40264,2022180,2,3,
40265,2022179,2,4,
40266,2022178,2,3,
40267,2022187,2,4,
40268,2022188,2,4,
40269,2022189,2,4,
40270,2022190,2,2,
40271,2022194,2,4,
40272,2022195,2,4,
40273,2022196,2,4,
40274,2022191,2,6,
40275,2022192,2,5,
40276,2022193,2,6,
40277,2022197,2,2,
40278,2022198,2,4,
40279,2022199,2,4,
40280,2022200,2,4,
40281,2022201,2,2,
40282,2022202,2,4,
40283,2022206,2,6,
40284,2022207,2,4,
40285,2022208,2,2,
40286,2022203,2,2,
40287,2022204,2,4,
40288,2022205,2,4,
40289,2022212,2,4,
40290,2022213,2,2,
40291,2022214,2,2,
40292,2022209,2,4,
40293,2022210,2,4,
40294,2022211,2,4,
40295,2022218,2,2,
40296,2022219,2,2,
40297,2022220,2,2,
40298,2022215,2,4,
40299,2022216,2,5,
40300,2022217,1,2,
40301,2022224,1,2,
40302,2022225,2,2,
40303,2022226,2,2,
40304,2022221,2,4,
40305,2022222,2,4,
40306,2022223,2,4,
40307,2022227,2,2,
40308,2022229,2,2,
40309,2022230,2,2,
40310,2022231,2,2,
40311,2022232,2,2,
40312,2022233,2,4,
40313,2022234,2,4,
40314,2022235,2,8,
40315,2022236,1,2,
40316,2022237,2,2,
40317,2022238,2,4,
40318,2022239,2,4,
40319,2022240,2,4,
40320,2022241,2,4,
40321,2022242,2,2,
40322,2022243,2,4,
40323,2022244,1,5,
40324,2022245,2,4,
40325,2022246,2,3,
40326,2022247,2,4,
40327,2022248,2,4,
40328,2022249,2,5,
40329,2022250,2,5,
40330,2022251,2,5,
40331,2022252,2,4,
40332,2022253,2,4,
40333,2022254,2,4,
40334,2022255,2,4,
40335,2022256,2,8,
40336,2022257,2,4,
40337,2022258,2,4,
40338,2022262,2,4,
40339,2022263,2,3,
40340,2022264,2,6,
40341,2022259,2,4,
40342,2022260,2,4,
40343,2022261,2,3,
40344,2022268,2,4,
40345,2022269,2,4,
40346,2022270,2,4,
40347,2022265,2,4,
40348,2022266,2,4,
40349,2022267,2,8,
40350,2022271,2,4,
40351,2022272,2,4,
40352,2022273,2,4,
40353,2022274,2,3,
40354,2022275,2,3,
40355,2022276,2,3,
40356,2022277,2,5,
40357,2022278,2,3,
40358,2022279,2,4,
40359,2022280,2,4,
40360,2022281,2,5,
40361,2022282,2,2,
40362,2022283,2,4,
40363,2022284,2,4,
40364,2022285,2,5,
